lemma,part
и,misc
в,prep
не,misc
он,pron
на,prep
я,pron
что,misc
тот,adjpron
быть,verb
с,prep
а,misc
весь,adjpron
это,pron
как,misc
она,pron
по,prep
но,misc
они,pron
к,prep
у,prep
ты,pron
из,prep
мы,pron
за,prep
вы,pron
так,adv
же,misc
от,prep
сказать,verb
этот,adjpron
который,adjpron
мочь,verb
человек,noun
о,prep
один,card
еще,misc
бы,misc
такой,adjpron
только,misc
себя,pron
свое,pron
какой,adjpron
когда,misc
уже,misc
для,prep
вот,misc
кто,pron
да,misc
говорить,verb
год,noun
знать,verb
мой,adjpron
до,prep
или,misc
если,misc
время,noun
рука,noun
нет,misc
самый,adjpron
ни,misc
стать,verb
большой,adj
даже,misc
другой,adjpron
наш,adjpron
свой,adjpron
ну,misc
под,prep
где,adv
дело,noun
есть,verb
сам,adjpron
раз,noun
чтобы,misc
два,card
там,adv
чем,misc
глаз,noun
жизнь,noun
первый,ord
день,noun
тута,adv
во,prep
ничто,pron
потом,adv
очень,adv
со,prep
хотеть,verb
ли,misc
при,prep
голова,noun
надо,prep
без,prep
видеть,verb
идти,verb
теперь,adv
тоже,adv
стоять,verb
друг,noun
дом,noun
сейчас,adv
можно,misc
после,prep
слово,noun
здесь,adv
думать,verb
место,noun
спросить,verb
через,prep
лицо,noun
что,pron
тогда,adv
ведь,misc
хороший,adj
каждый,adjpron
новый,adj
жить,verb
должный,adj
смотреть,verb
почему,adv
потому,adv
сторона,noun
просто,adv
нога,noun
сидеть,verb
понять,verb
иметь,verb
конечный,adj
делать,verb
вдруг,adv
над,prep
взять,verb
никто,pron
сделать,verb
дверь,noun
перед,prep
нужный,adj
понимать,verb
казаться,verb
работа,noun
три,card
ваш,adjpron
уж,misc
земля,noun
конец,noun
несколько,adv
час,noun
голос,noun
город,noun
последний,adj
пока,adv
хорошо,adv
давать,verb
вода,noun
более,adv
хотя,misc
всегда,adv
второй,ord
куда,adv
пойти,verb
стол,noun
ребенок,noun
увидеть,verb
сила,noun
отец,noun
женщина,noun
машина,noun
случай,noun
ночь,noun
сразу,adv
мир,noun
совсем,adv
остаться,verb
об,prep
вид,noun
выйти,verb
дать,verb
работать,verb
любить,verb
старый,adj
почти,adv
ряд,noun
оказаться,verb
начало,noun
твой,adjpron
вопрос,noun
много,adv
война,noun
снова,adv
ответить,verb
между,prep
подумать,verb
опять,adv
белый,adj
деньги,noun
значить,verb
про,prep
лишь,misc
минута,noun
жена,noun
посмотреть,verb
правда,noun
главный,adj
страна,noun
свет,noun
ждать,verb
мать,noun
будто,misc
никогда,adv
товарищ,noun
дорога,noun
однако,misc
лежать,verb
именно,misc
окно,noun
никакой,adjpron
найти,verb
писать,verb
комната,noun
москва,noun
часть,noun
вообще,adv
книга,noun
маленький,adj
улица,noun
решить,verb
далекий,adj
душа,noun
чуть,adv
вернуться,verb
утро,noun
некоторый,adjpron
считать,verb
сколько,card
помнить,verb
вечер,noun
пол,noun
таки,misc
получить,verb
народ,noun
плечо,noun
хоть,misc
сегодня,adv
бог,noun
вместе,adv
взгляд,noun
ходить,verb
зачем,adv
советский,adj
русский,adj
бывать,verb
полный,adj
прийти,verb
палец,noun
россия,noun
любой,adjpron
история,noun
наконец,adv
мысль,noun
узнать,verb
назад,adv
общий,adj
заметить,verb
словно,misc
прошлый,adj
уйти,verb
известный,adj
давно,adv
слышать,verb
слушать,verb
бояться,verb
сын,noun
нельзя,misc
прямо,adv
долго,adv
быстро,adv
лес,noun
похожий,adj
пора,noun
пять,card
глядеть,verb
оно,pron
сесть,verb
имя,noun
ж,misc
разговор,noun
тело,noun
молодой,adj
стена,noun
красный,adj
читать,verb
право,noun
старик,noun
ранний,adj
хотеться,misc
мама,noun
оставаться,verb
высокий,adj
путь,noun
поэтому,adv
совершенно,adv
кроме,prep
тысяча,card
месяц,noun
брать,verb
написать,verb
целый,adj
огромный,adj
начинать,verb
спина,noun
настоящий,adj
пусть,misc
язык,noun
точно,adv
среди,prep
чувствовать,verb
сердце,noun
вести,verb
иногда,adv
мальчик,noun
успеть,verb
небо,noun
живой,adj
смерть,noun
продолжать,verb
девушка,noun
образ,noun
ко,prep
забыть,verb
вокруг,prep
письмо,noun
власть,noun
черный,adj
пройти,verb
появиться,verb
воздух,noun
разный,adj
выходить,verb
просить,verb
брат,noun
собственный,adj
отношение,noun
затем,adv
пытаться,verb
показать,verb
вспомнить,verb
система,noun
четыре,card
квартира,noun
держать,verb
также,misc
любовь,noun
солдат,noun
откуда,adv
чтоб,misc
называть,verb
третий,ord
хозяин,noun
вроде,prep
уходить,verb
подойти,verb
поднять,verb
особенно,adv
спрашивать,verb
начальник,noun
оба,card
бросить,verb
школа,noun
парень,noun
кровь,noun
двадцать,card
солнце,noun
неделя,noun
послать,verb
находиться,verb
ребята,noun
поставить,verb
встать,verb
например,misc
шаг,noun
мужчина,noun
равно,adv
нос,noun
мало,adv
внимание,noun
капитан,noun
ухо,noun
туда,adv
сюда,adv
играть,verb
следовать,verb
рассказать,verb
великий,adj
действительно,adv
слишком,adv
тяжелый,adj
спать,verb
оставить,verb
войти,verb
длинный,adj
чувство,noun
молчать,verb
рассказывать,verb
отвечать,verb
становиться,verb
остановиться,verb
берег,noun
семья,noun
искать,verb
генерал,noun
момент,noun
десять,card
начать,verb
следующий,adj
личный,adj
труд,noun
верить,verb
группа,noun
немного,adv
впрочем,misc
видно,misc
являться,verb
муж,noun
разве,misc
движение,noun
порядок,noun
ответ,noun
тихо,adv
знакомый,adj
газета,noun
помощь,noun
сильный,adj
скорый,adj
собака,noun
дерево,noun
снег,noun
сон,noun
смысл,noun
смочь,verb
против,prep
бежать,verb
двор,noun
форма,noun
простой,adj
приехать,verb
иной,adjpron
кричать,verb
возможность,noun
общество,noun
зеленый,adj
грудь,noun
угол,noun
открыть,verb
происходить,verb
ладно,adv
черный,noun
век,noun
карман,noun
ехать,verb
немец,noun
наверное,adv
губа,noun
дядя,noun
приходить,verb
часто,adv
домой,adv
огонь,noun
писатель,noun
армия,noun
состояние,noun
зуб,noun
очередь,noun
кой,adjpron
подняться,verb
камень,noun
гость,noun
показаться,verb
ветер,noun
собираться,verb
попасть,verb
принять,verb
сначала,adv
либо,misc
поехать,verb
услышать,verb
уметь,verb
случиться,verb
странный,adj
единственный,adj
рота,noun
закон,noun
короткий,adj
море,noun
добрый,adj
темный,adj
гора,noun
врач,noun
край,noun
